run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum,d_res,T_hello,ND,LET,LS,RSSI,LA,LQ_mean,LL_d,link_failure,lfp,lfp_threshold,paper_predicted_failure
18,8.0,14,421.456,199.818,8.0,-39.422,0,0,0,0.0,0.0,1.0,8.0,0.0,0.0,-39.422,0.9048374180359596,0.6730771559710801,0.0,0,0.6032942445130238,0.4679105822709132,1
18,9.0,14,431.349,198.217,8.0,-43.353,0,0,0,0.0,0.0,1.0,8.0,0.0,0.0,-43.353,0.9048374180359596,0.6254707955384932,0.0,0,0.6175761526427999,0.4578599854231147,1
18,10.0,14,436.372,197.404,9.0,-46.344,0,0,0,0.0,0.0,1.0,9.0,0.0,0.0,-46.344,0.9048374180359596,0.5892483015029125,0.0,0,0.6240950747665175,0.45281066488403265,1
18,11.0,14,431.076,196.688,10.0,-46.583,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-46.583,0.9048374180359596,0.5863538929189929,0.0,0,0.620615571254737,0.4545815583423566,1
18,12.0,14,420.318,195.234,10.0,-45.342,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-45.342,0.9048374180359596,0.6013830186622745,0.0,0,0.6161068335317523,0.45767366851573876,1
18,13.0,14,409.561,193.781,10.0,-45.33,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-45.33,0.9048374180359596,0.6015283446162789,0.0,0,0.6160632357455511,0.4577037651650781,1
18,14.0,14,398.803,192.327,10.0,-42.662,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-42.662,0.9048374180359596,0.6338391483899095,0.0,0,0.6063699946134619,0.4644830044996276,1
18,15.0,14,388.045,190.873,10.0,-43.684,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-43.684,0.9048374180359596,0.621462221307207,0.0,0,0.6100830727382727,0.46186612971730673,1
18,16.0,14,377.288,189.42,11.0,-42.177,0,0,0,0.0,9.031310767248726,1.0,11.0,4.515655383624363,0.3633692987334402,-42.177,0.9048374180359596,0.6397127390309181,0.0,0,0.5529939715996359,0.49680909863313893,1
18,17.0,14,366.53,187.966,12.0,-45.355,0,0,0,0.0,17.986901952874405,1.0,12.0,8.993450976437202,0.5931639896239354,-45.355,0.9048374180359596,0.6012255822121032,0.0,0,0.5263752700706972,0.509792687530247,1
