method,run_id,time,source,target,hop_count
classic_baseline,1,54.0,55,8,4
classic_baseline,1,54.0,85,42,3
classic_baseline,1,54.0,79,40,5
classic_baseline,1,54.0,84,15,7
classic_baseline,1,55.0,92,38,3
classic_baseline,1,55.0,64,39,3
classic_baseline,1,55.0,85,52,8
classic_baseline,1,55.0,41,51,5
classic_baseline,1,55.0,89,37,3
classic_baseline,1,56.0,70,16,2
classic_baseline,1,56.0,24,53,4
classic_baseline,1,56.0,85,48,3
classic_baseline,1,56.0,86,95,4
classic_baseline,1,56.0,22,78,5
classic_baseline,1,57.0,72,38,5
classic_baseline,1,57.0,51,70,2
classic_baseline,1,57.0,0,38,4
classic_baseline,1,57.0,36,26,2
classic_baseline,1,57.0,55,74,5
classic_baseline,1,58.0,77,83,5
classic_baseline,1,58.0,41,59,6
classic_baseline,1,58.0,56,86,3
classic_baseline,1,58.0,27,65,2
classic_baseline,1,58.0,60,94,4
classic_baseline,1,59.0,21,84,1
classic_baseline,1,59.0,10,36,3
classic_baseline,1,59.0,65,84,3
classic_baseline,1,59.0,81,79,4
classic_baseline,1,59.0,42,11,5
classic_baseline,1,60.0,96,30,3
classic_baseline,1,60.0,86,39,5
classic_baseline,1,60.0,28,25,6
classic_baseline,1,60.0,18,3,4
classic_baseline,1,60.0,5,31,7
classic_baseline,1,61.0,60,78,1
classic_baseline,1,61.0,98,9,6
classic_baseline,1,61.0,58,53,3
classic_baseline,1,61.0,80,73,8
classic_baseline,1,61.0,24,91,4
classic_baseline,1,62.0,89,49,2
classic_baseline,1,62.0,63,51,4
classic_baseline,1,62.0,31,18,8
classic_baseline,1,62.0,83,88,3
classic_baseline,1,62.0,0,96,2
classic_baseline,1,63.0,98,13,3
classic_baseline,1,63.0,99,54,2
classic_baseline,1,63.0,28,22,9
classic_baseline,1,63.0,89,66,4
classic_baseline,1,63.0,59,6,1
classic_baseline,1,64.0,71,31,5
classic_baseline,1,64.0,15,58,4
classic_baseline,1,64.0,17,59,2
classic_baseline,1,64.0,85,67,6
classic_baseline,1,64.0,71,76,2
classic_baseline,1,65.0,40,96,3
classic_baseline,1,65.0,56,78,4
classic_baseline,1,65.0,92,64,7
classic_baseline,1,65.0,54,70,5
classic_baseline,1,65.0,95,60,3
classic_baseline,1,66.0,57,33,4
classic_baseline,1,66.0,96,31,3
classic_baseline,1,66.0,81,35,9
classic_baseline,1,66.0,98,99,4
classic_baseline,1,66.0,66,62,5
classic_baseline,1,67.0,80,30,3
classic_baseline,1,67.0,35,56,7
classic_baseline,1,67.0,9,91,8
classic_baseline,1,67.0,36,30,4
classic_baseline,1,67.0,34,42,5
classic_baseline,1,68.0,40,69,5
classic_baseline,1,68.0,10,17,5
classic_baseline,1,68.0,19,29,5
classic_baseline,1,68.0,49,88,4
classic_baseline,1,68.0,19,90,3
classic_baseline,1,69.0,27,8,4
classic_baseline,1,69.0,53,52,4
classic_baseline,1,69.0,42,69,5
classic_baseline,1,69.0,59,53,4
classic_baseline,1,69.0,7,26,2
classic_baseline,1,70.0,53,49,3
classic_baseline,1,70.0,98,74,6
classic_baseline,1,70.0,89,2,2
classic_baseline,1,70.0,97,73,1
classic_baseline,1,70.0,48,61,2
classic_baseline,1,71.0,0,45,4
classic_baseline,1,71.0,38,96,3
classic_baseline,1,71.0,49,53,3
classic_baseline,1,71.0,68,95,4
