method,run_id,time,source,target,ml_avg_reliability,ml_min_reliability,ml_hops,base_avg_reliability,base_min_reliability,base_hops
paper_baseline,24,30.0,36,43,0.3328357226312569,0.32013148865933505,6,0.3328357226312569,0.32013148865933505,6
paper_baseline,24,30.0,40,15,0.3308225923109735,0.32703603419817884,2,0.3308225923109735,0.32703603419817884,2
paper_baseline,24,31.0,10,52,0.3194588611116263,0.30732757181803005,4,0.3194588611116263,0.30732757181803005,4
paper_baseline,24,31.0,53,64,0.3348497802340461,0.3320591235325755,4,0.3348497802340461,0.3320591235325755,4
paper_baseline,24,31.0,18,73,0.3358760965115632,0.33382281485877485,5,0.3358760965115632,0.33382281485877485,5
paper_baseline,24,31.0,98,25,0.3302610068433449,0.31377960349400047,4,0.3302610068433449,0.31377960349400047,4
paper_baseline,24,31.0,23,58,0.3288627807347787,0.3288627807347787,1,0.3288627807347787,0.3288627807347787,1
paper_baseline,24,32.0,1,21,0.3291474564640864,0.31049655978190316,6,0.3291474564640864,0.31049655978190316,6
paper_baseline,24,32.0,15,53,0.3393248456074628,0.3393248456074628,1,0.3393248456074628,0.3393248456074628,1
paper_baseline,24,32.0,33,97,0.3336168035953834,0.33047857050128904,3,0.3336168035953834,0.33047857050128904,3
paper_baseline,24,32.0,70,91,0.3574216262390705,0.321234954841342,5,0.3574216262390705,0.321234954841342,5
paper_baseline,24,32.0,60,95,0.3393879008178632,0.3393879008178632,1,0.3393879008178632,0.3393879008178632,1
paper_baseline,24,33.0,12,16,0.3727850414138015,0.33488594425177576,5,0.3727850414138015,0.33488594425177576,5
paper_baseline,24,33.0,4,55,0.3400927514326515,0.3396442944307413,4,0.3400927514326515,0.3396442944307413,4
paper_baseline,24,33.0,3,88,0.3352552808738711,0.32544713562433936,5,0.3352552808738711,0.32544713562433936,5
paper_baseline,24,33.0,21,9,0.30492003733857564,0.27817473711540963,3,0.30492003733857564,0.27817473711540963,3
paper_baseline,24,33.0,16,65,0.32318549359247795,0.32318549359247795,1,0.32318549359247795,0.32318549359247795,1
paper_baseline,24,34.0,67,49,0.3835448831733528,0.33287884126778056,6,0.3835448831733528,0.33287884126778056,6
paper_baseline,24,34.0,54,45,0.3271780629686641,0.32579718477031216,3,0.3271780629686641,0.32579718477031216,3
paper_baseline,24,34.0,16,51,0.3356235974852099,0.33003625674598025,6,0.3356235974852099,0.33003625674598025,6
paper_baseline,24,34.0,89,71,0.3303217052107095,0.31638665825930534,3,0.3303217052107095,0.31638665825930534,3
paper_baseline,24,34.0,30,91,0.3296428571428572,0.32021679864987673,2,0.3296428571428572,0.32021679864987673,2
paper_baseline,24,35.0,37,15,0.3303615010849205,0.324354796832403,2,0.3303615010849205,0.324354796832403,2
paper_baseline,24,35.0,43,75,0.3252104467647114,0.310216056823872,6,0.3252104467647114,0.310216056823872,6
paper_baseline,24,35.0,77,78,0.33477173395646714,0.330046920494798,6,0.33477173395646714,0.330046920494798,6
paper_baseline,24,35.0,5,9,0.32201016301626445,0.3141532983438734,2,0.32201016301626445,0.3141532983438734,2
paper_baseline,24,35.0,94,45,0.33815535691103654,0.33301097902486976,5,0.33815535691103654,0.33301097902486976,5
paper_baseline,24,36.0,57,52,0.3190944777235833,0.30731134437417706,3,0.3190944777235833,0.30731134437417706,3
paper_baseline,24,36.0,80,57,0.33046141577493005,0.33046141577493005,2,0.33046141577493005,0.33046141577493005,2
paper_baseline,24,36.0,94,55,0.37797551269197144,0.3283365479126872,3,0.37797551269197144,0.3283365479126872,3
paper_baseline,24,36.0,37,96,0.34919679013005533,0.3194527178650248,8,0.34919679013005533,0.3194527178650248,8
paper_baseline,24,36.0,61,89,0.328426378405445,0.31029904860814894,4,0.328426378405445,0.31029904860814894,4
paper_baseline,24,37.0,17,93,0.3386647750103547,0.3384787003208398,3,0.3386647750103547,0.3384787003208398,3
paper_baseline,24,37.0,23,92,0.35104801468815494,0.35104801468815494,1,0.35104801468815494,0.35104801468815494,1
paper_baseline,24,37.0,98,75,0.32474873735032117,0.2902502735483392,9,0.32474873735032117,0.2902502735483392,9
paper_baseline,24,37.0,65,10,0.32993861389811024,0.3166518610559893,5,0.32993861389811024,0.3166518610559893,5
paper_baseline,24,37.0,19,0,0.317446233069367,0.28493740843085247,6,0.317446233069367,0.28493740843085247,6
paper_baseline,24,38.0,75,47,0.338701186294254,0.32903850076964447,6,0.338701186294254,0.32903850076964447,6
paper_baseline,24,38.0,58,48,0.3340703992878471,0.3215794402922795,6,0.3340703992878471,0.3215794402922795,6
paper_baseline,24,38.0,41,56,0.359608662397697,0.32943732492043587,4,0.359608662397697,0.32943732492043587,4
paper_baseline,24,38.0,22,65,0.3350607370041357,0.31856299030062496,6,0.3350607370041357,0.31856299030062496,6
paper_baseline,24,38.0,92,75,0.3302757274531259,0.32903850076964447,2,0.3302757274531259,0.32903850076964447,2
paper_baseline,24,39.0,35,98,0.32677771978582426,0.3098214981176165,7,0.32677771978582426,0.3098214981176165,7
paper_baseline,24,39.0,12,29,0.3361574340238497,0.32131562841935424,5,0.3361574340238497,0.32131562841935424,5
paper_baseline,24,39.0,38,63,0.33304675667488864,0.31339292668904506,6,0.33304675667488864,0.31339292668904506,6
paper_baseline,24,39.0,43,6,0.324570853656275,0.324570853656275,1,0.324570853656275,0.324570853656275,1
paper_baseline,24,39.0,72,66,0.3345350605515477,0.3220987184955769,5,0.3345350605515477,0.3220987184955769,5
paper_baseline,24,40.0,67,74,0.3188030019225657,0.3140383153131433,3,0.3188030019225657,0.3140383153131433,3
paper_baseline,24,40.0,65,54,0.33080877580163576,0.31915598746314056,5,0.33080877580163576,0.31915598746314056,5
paper_baseline,24,40.0,36,41,0.33071419711602146,0.3048568275810909,8,0.33071419711602146,0.3048568275810909,8
paper_baseline,24,40.0,49,40,0.32080971853885004,0.3115031249420448,6,0.32080971853885004,0.3115031249420448,6
paper_baseline,24,40.0,96,22,0.320236364310751,0.3048568275810909,5,0.320236364310751,0.3048568275810909,5
paper_baseline,24,41.0,18,5,0.3342562267020271,0.3284974314274587,5,0.3342562267020271,0.3284974314274587,5
paper_baseline,24,41.0,94,93,0.33506351885165336,0.3316084642347137,3,0.33506351885165336,0.3316084642347137,3
paper_baseline,24,41.0,26,55,0.3327847220934331,0.3327847220934331,2,0.3327847220934331,0.3327847220934331,2
paper_baseline,24,41.0,66,35,0.32936791787986125,0.3164761410211234,2,0.32936791787986125,0.3164761410211234,2
paper_baseline,24,41.0,73,78,0.34253602492535373,0.32973396264906074,3,0.34253602492535373,0.32973396264906074,3
paper_baseline,24,42.0,40,12,0.33461401865692403,0.3268046772129597,6,0.33461401865692403,0.3268046772129597,6
paper_baseline,24,42.0,44,36,0.324337642106044,0.30440245915320563,6,0.324337642106044,0.30440245915320563,6
paper_baseline,24,42.0,21,15,0.36152249344005216,0.31788746499508536,7,0.36152249344005216,0.31788746499508536,7
paper_baseline,24,42.0,36,35,0.3294753538613074,0.30440245915320563,9,0.3294753538613074,0.30440245915320563,9
paper_baseline,24,42.0,62,56,0.33544277739656164,0.3338418241501456,6,0.33544277739656164,0.3338418241501456,6
paper_baseline,24,43.0,28,21,0.32527767474638825,0.313402199514104,4,0.32527767474638825,0.313402199514104,4
paper_baseline,24,43.0,36,33,0.32680995113221195,0.3067447747630794,8,0.32680995113221195,0.3067447747630794,8
paper_baseline,24,43.0,77,96,0.31389551380723646,0.31389551380723646,2,0.31389551380723646,0.31389551380723646,2
paper_baseline,24,43.0,13,29,0.32690352552808744,0.31389551380723646,5,0.32690352552808744,0.31389551380723646,5
paper_baseline,24,43.0,85,35,0.33683787392667053,0.3157310695276423,5,0.33683787392667053,0.3157310695276423,5
paper_baseline,24,44.0,18,12,0.3382252210244087,0.3300752026112276,7,0.3382252210244087,0.3300752026112276,7
paper_baseline,24,44.0,26,70,0.3226448878915451,0.2892743087108919,4,0.3226448878915451,0.2892743087108919,4
paper_baseline,24,44.0,65,96,0.3272320514167847,0.29862641642402776,9,0.3272320514167847,0.29862641642402776,9
paper_baseline,24,44.0,21,3,0.32947478718866485,0.3184211160772241,7,0.32947478718866485,0.3184211160772241,7
paper_baseline,24,44.0,76,5,0.34375169229057323,0.342965820366833,4,0.34375169229057323,0.342965820366833,4
paper_baseline,24,45.0,69,68,0.3485005350740215,0.3043625860054524,7,0.3485005350740215,0.3043625860054524,7
paper_baseline,24,45.0,24,0,0.32461155105514444,0.3068977763765509,9,0.32461155105514444,0.3068977763765509,9
paper_baseline,24,45.0,62,3,0.3403777748928989,0.3403777748928989,1,0.3403777748928989,0.3403777748928989,1
paper_baseline,24,45.0,47,26,0.3485239098622189,0.3043625860054524,6,0.3485239098622189,0.3043625860054524,6
paper_baseline,24,45.0,36,73,0.3193193437312612,0.29717243745479505,6,0.3193193437312612,0.29717243745479505,6
paper_baseline,24,46.0,54,93,0.32909358135049427,0.31048728695684424,5,0.32909358135049427,0.31048728695684424,5
paper_baseline,24,46.0,56,66,0.32885211698596095,0.32531685243226205,2,0.32885211698596095,0.32531685243226205,2
paper_baseline,24,46.0,16,58,0.326889755382875,0.32571233842102343,2,0.326889755382875,0.32571233842102343,2
paper_baseline,24,46.0,37,14,0.33308253432490753,0.3275984310380001,6,0.33308253432490753,0.3275984310380001,6
paper_baseline,24,46.0,91,90,0.341215110995716,0.34077001539288965,2,0.341215110995716,0.34077001539288965,2
paper_baseline,24,47.0,15,56,0.3378739074016309,0.2992583594517906,10,0.3378739074016309,0.2992583594517906,10
paper_baseline,24,47.0,55,63,0.32768698651731243,0.32768698651731243,1,0.32768698651731243,0.32768698651731243,1
paper_baseline,24,47.0,33,11,0.34067699467748697,0.2986959626119694,7,0.34067699467748697,0.2986959626119694,7
paper_baseline,24,47.0,17,35,0.3344762399312575,0.3069158583854157,6,0.3344762399312575,0.3069158583854157,6
paper_baseline,24,47.0,93,85,0.3437442740305262,0.3437442740305262,1,0.3437442740305262,0.3437442740305262,1
paper_baseline,24,48.0,14,45,0.3375170310886915,0.3265482836000816,6,0.3375170310886915,0.3265482836000816,6
