method,run_id,time,source,target,ml_avg_reliability,ml_min_reliability,ml_hops,base_avg_reliability,base_min_reliability,base_hops
ours,21,142.0,4,37,0.7445290707338507,0.6351360452924963,6,0.5624145652756956,0.3963592689406781,4
ours,21,142.0,20,19,0.5489124017214613,0.4267456686828106,3,0.527792319258183,0.4267456686828106,3
ours,21,142.0,87,59,0.7062988279269105,0.6153627877299712,5,0.5478413720212629,0.45242465962911116,4
ours,21,143.0,10,80,0.5584709510460246,0.4521630624543944,3,0.519202330276052,0.4521630624543944,3
ours,21,143.0,11,91,0.8175784704655313,0.7298424000299889,8,0.7678087250730586,0.7257134510201378,7
ours,21,143.0,29,27,0.7447163989243144,0.5763804250203476,6,0.5364073056394822,0.45044148077599866,6
ours,21,143.0,87,83,0.7587640270118653,0.645996426278358,8,0.5180942048390812,0.44531748154343676,6
ours,21,143.0,18,98,0.461633389625424,0.45044148077599866,2,0.41884570267160715,0.41884570267160715,2
ours,21,144.0,91,20,0.8395681554634379,0.8166850187788399,3,0.8395681554634379,0.8166850187788399,3
ours,21,144.0,64,66,0.7719883235846625,0.6887348151087113,6,0.758571851096701,0.6887348151087113,6
ours,21,144.0,93,77,0.7029933902681487,0.537259634166888,12,0.5820987453232559,0.3528849505267262,10
ours,21,144.0,83,66,0.6767760472541673,0.5417995776889891,7,0.6050289114795141,0.4191969794476198,6
ours,21,144.0,98,43,0.7299480147076288,0.5199267710893637,6,0.7039551996848635,0.4664325170900928,6
ours,21,145.0,57,16,0.7096827945162228,0.5278407584178121,6,0.6172370889166607,0.3468547037000449,5
ours,21,145.0,43,37,0.8545857994690175,0.8389531074978815,2,0.8545857994690175,0.8389531074978815,2
ours,21,145.0,46,79,0.6884859263433166,0.3468547037000449,4,0.6884859263433166,0.3468547037000449,4
ours,21,145.0,55,5,0.7836670060347841,0.7201052650433926,8,0.6292569938024614,0.36784760343073497,7
ours,21,145.0,91,99,0.8266541712062168,0.7862021804854502,6,0.8266541712062168,0.7862021804854502,6
ours,21,146.0,87,49,0.6611434032153529,0.6321012534640664,7,0.5065980214914557,0.3291605531860545,6
ours,21,146.0,30,26,0.6292541968917444,0.43297545121692915,5,0.5320647165782024,0.43297545121692915,5
ours,21,146.0,78,77,0.6244859192293032,0.45441679475793595,7,0.5721195323981733,0.45441679475793595,7
ours,21,146.0,9,19,0.6283612401798895,0.5226331192129876,4,0.4368778746863932,0.43019777859787367,3
ours,21,146.0,72,80,0.6747226442296972,0.41489512132301765,4,0.6006197552345562,0.41489512132301765,4
ours,21,147.0,63,12,0.7733311207935685,0.5766369330874269,10,0.7565222319160924,0.5154245341192591,9
ours,21,147.0,1,18,0.653297749008376,0.44444350442691616,6,0.614081542547991,0.44444350442691616,6
ours,21,147.0,98,39,0.6189331384274207,0.5766369330874269,4,0.46810384765769714,0.44444350442691616,3
ours,21,147.0,70,11,0.7291175426473441,0.6227597595578014,9,0.7291175426473441,0.6227597595578014,9
ours,21,147.0,63,12,0.7733311207935685,0.5766369330874269,10,0.7565222319160924,0.5154245341192591,9
ours,21,148.0,58,40,0.7811046560259192,0.6694041965305084,14,0.712295976216456,0.4593427635898897,13
ours,21,148.0,21,37,0.7270603193546539,0.6361699470271421,10,0.6435558432108414,0.431011914385959,9
ours,21,148.0,20,8,0.64706057491946,0.6122507061249187,4,0.40120087183637937,0.38044006206979164,3
ours,21,148.0,35,73,0.6341082611005842,0.47089925936765265,6,0.43402198311145995,0.39311792994385,4
ours,21,148.0,46,45,0.4207965778192674,0.4105812412525758,2,0.4207965778192674,0.4105812412525758,2
ours,21,149.0,11,9,0.7884460232998495,0.6588386103873404,6,0.7884460232998495,0.6588386103873404,6
ours,21,149.0,22,90,0.44832701061935354,0.4238455445649322,3,0.44832701061935354,0.4238455445649322,3
ours,21,149.0,98,58,0.7682137559850097,0.5440964442415899,9,0.724496524476216,0.49199719893813265,8
ours,21,149.0,33,60,0.6560522903660398,0.5965026168326717,3,0.6560522903660398,0.5965026168326717,3
ours,21,149.0,32,97,0.6837152769290249,0.44947161726273044,6,0.5915885900113513,0.416644042860411,5
ours,21,150.0,56,83,0.6606524570792985,0.5346825955334971,6,0.5214396079990657,0.4484247172716984,5
ours,21,150.0,17,15,0.6154442207585321,0.5868296522967691,3,0.4839595910726701,0.44758645297258015,3
ours,21,150.0,72,62,0.48276801322037616,0.33376176971706417,3,0.4323759594829976,0.33376176971706417,3
ours,21,150.0,5,46,0.6765288382967907,0.5001488563616733,7,0.570174167271245,0.3960811595957945,6
ours,21,150.0,36,51,0.6049484174176498,0.41110020510403156,6,0.5129627256872153,0.4484247172716984,5
ours,21,151.0,52,79,0.7826241091863445,0.7826241091863445,2,0.7826241091863445,0.7826241091863445,2
ours,21,151.0,87,16,0.6673507329048134,0.6395179709143397,7,0.544430338255445,0.3600407448222641,6
ours,21,151.0,56,46,0.7193883377103907,0.6804348781979949,3,0.7193883377103907,0.6804348781979949,3
ours,21,151.0,65,79,0.9056754140914276,0.9056754140914276,1,0.9056754140914276,0.9056754140914276,1
ours,21,151.0,40,47,0.5196920858894045,0.30720984450205535,3,0.4637538738769895,0.30720984450205535,3
ours,21,152.0,10,87,0.7031759264122457,0.6206501418062812,8,0.495629592213319,0.4122806332639882,6
ours,21,152.0,52,64,0.7023483249585483,0.621663377565433,2,0.7023483249585483,0.621663377565433,2
ours,21,152.0,57,33,0.5632250197385875,0.4598648033197339,5,0.520656968209239,0.41449871717442,5
ours,21,152.0,87,5,0.7839510825935321,0.7527279371536278,7,0.676913899254462,0.4311353351533682,7
ours,21,152.0,79,82,0.7782878609290353,0.7601051889972077,3,0.621663377565433,0.621663377565433,2
ours,21,153.0,7,94,0.8249644500577488,0.746454744943531,6,0.6464313415450924,0.5425504992145507,4
ours,21,153.0,31,89,0.4722022652299662,0.4568838862261432,3,0.4722022652299662,0.4568838862261432,3
ours,21,153.0,71,1,0.6553138806778088,0.3854934063102853,4,0.648560060534728,0.3854934063102853,4
ours,21,153.0,19,13,0.7538190874718029,0.4568838862261432,10,0.43457739124036676,0.35375470081572225,5
ours,21,153.0,37,48,0.6783606995392594,0.4926197405845911,5,0.6219932125924172,0.4568838862261432,5
ours,21,154.0,20,72,0.4884396908128812,0.37610724841100907,3,0.4437537349089375,0.343498210983727,3
ours,21,154.0,51,9,0.7608562695082846,0.6642135417066546,7,0.7282225386845438,0.6138114214911581,6
ours,21,154.0,28,49,0.7010441015809831,0.579044131863409,6,0.4090149158432292,0.343498210983727,4
ours,21,154.0,59,85,0.5858774184239158,0.5858774184239158,1,0.5858774184239158,0.5858774184239158,1
ours,21,154.0,11,44,0.7840677654923276,0.7840677654923276,2,0.7840677654923276,0.7840677654923276,2
ours,21,155.0,59,82,0.7028823556076539,0.7028823556076539,1,0.7028823556076539,0.7028823556076539,1
ours,21,155.0,68,59,0.676709499502671,0.6636230714501796,3,0.35989118124583436,0.18531174490080426,3
ours,21,155.0,13,10,0.6574820980843341,0.6553815895692618,2,0.5884710385759474,0.5884710385759474,2
ours,21,155.0,13,50,0.6155299792096687,0.4381056667341119,4,0.5875278496497963,0.4381056667341119,4
ours,21,155.0,98,55,0.4965643535654449,0.4591574587823899,3,0.4965643535654449,0.4591574587823899,3
ours,21,156.0,25,51,0.7235190410268338,0.6232426221049618,3,0.549776274145783,0.3987764922318944,3
ours,21,156.0,42,8,0.45443679748550475,0.4389009793823566,2,0.426070567899403,0.426070567899403,2
ours,21,156.0,40,43,0.6379763748823046,0.6015988523365554,5,0.6212761194626587,0.6015988523365554,5
ours,21,156.0,77,62,0.3659678473544903,0.265721457080373,2,0.3523112182313648,0.265721457080373,2
ours,21,156.0,27,89,0.5732022168482516,0.4699726155886529,3,0.5448226914512974,0.4699726155886529,3
ours,21,157.0,94,60,0.5707059596162447,0.5707059596162447,2,0.5707059596162447,0.5707059596162447,2
ours,21,157.0,14,35,0.6417085334853192,0.5846475422556963,7,0.43888317374344304,0.26355520058394233,6
ours,21,157.0,58,4,0.6549676397203618,0.5550231008173185,6,0.5661222763627789,0.3653827971773381,5
ours,21,157.0,69,19,0.6739832680621182,0.46495355204031097,6,0.6421510308284045,0.4308793404994904,6
ours,21,157.0,60,18,0.5384954662479517,0.4308793404994904,4,0.49992461775336106,0.4308793404994904,4
ours,21,158.0,81,27,0.6545981103237559,0.3557556425539854,4,0.5165806220722193,0.3557556425539854,3
ours,21,158.0,40,72,0.6041599264989768,0.6041599264989768,1,0.6041599264989768,0.6041599264989768,1
ours,21,158.0,4,76,0.5373321626324193,0.47646766461312273,3,0.3557556425539854,0.3557556425539854,2
ours,21,158.0,99,48,0.6731301058582432,0.4747823890456766,3,0.5785343095683723,0.4747823890456766,3
ours,21,158.0,7,46,0.6304604310834834,0.5693602060341365,5,0.5011127592175381,0.41029356564513475,5
ours,21,159.0,55,60,0.5972335475993553,0.5809816820611462,2,0.5972335475993553,0.5809816820611462,2
ours,21,159.0,27,6,0.6797792890399305,0.6077987997897862,5,0.6797792890399305,0.6077987997897862,5
ours,21,159.0,27,2,0.7157367473486147,0.7157367473486147,1,0.7157367473486147,0.7157367473486147,1
ours,21,159.0,97,87,0.5645027675525001,0.4582224777415276,5,0.5507002538072674,0.45214650086954267,5
ours,21,159.0,54,34,0.630304595157788,0.5589431203623593,7,0.5579182163468556,0.4900291206524844,6
ours,21,160.0,32,81,0.5785297306304703,0.4551953003018002,3,0.5785297306304703,0.4551953003018002,3
ours,21,160.0,22,10,0.6210044560666503,0.6149976552806253,2,0.5660497758840807,0.5660497758840807,2
ours,21,160.0,18,8,0.5092936485396606,0.4562639273665856,3,0.4349086449744704,0.42313403740095934,3
ours,21,160.0,35,51,0.6184875349566891,0.5821426508759993,3,0.6044917896502692,0.568629477974147,3
ours,21,160.0,10,38,0.6905577430945288,0.5660497758840807,5,0.6628614284065591,0.5660497758840807,5
ours,21,161.0,91,57,0.7219189283827125,0.570544695235365,5,0.66472900282524,0.570544695235365,5
ours,21,161.0,53,67,0.6201333771092098,0.5623847369096516,5,0.4819337222879715,0.4378031114455394,4
ours,21,161.0,27,85,0.6595988765436321,0.6039659916018632,6,0.5176182387872604,0.38195977049751106,5
ours,21,161.0,33,23,0.6476537631517871,0.6039659916018632,4,0.5329291054612604,0.4403481032908825,4
ours,21,161.0,6,11,0.7644902449019907,0.6317906312827923,9,0.7390154361317662,0.6317906312827923,9
ours,21,162.0,54,43,0.5906046392366542,0.5178276438410117,5,0.5906046392366542,0.5178276438410117,5
ours,21,162.0,96,38,0.6362773646600519,0.5202356812928229,5,0.5685543543537059,0.4122477194403267,5
ours,21,162.0,21,25,0.6416142083416995,0.497369074697125,6,0.5743812012348332,0.4122477194403267,6
