nodeA,nodeB,distance,time,link_status
1,32,62.2355,1,1
1,33,71.4466,1,1
1,34,85.4876,1,1
1,35,98.7033,1,1
1,36,116.407,1,0
1,37,134.831,1,0
1,38,154.099,1,0
1,39,170.059,1,0
1,40,80.505,1,1
1,41,77.9701,1,1
1,42,83.5285,1,1
1,43,86.8542,1,1
1,44,100.729,1,0
1,45,114.381,1,0
1,46,127.382,1,0
1,47,143.902,1,0
1,48,161.11,1,0
1,49,178.803,1,0
2,3,20.3827,1,1
2,4,40.1415,1,1
2,5,58.4756,1,1
2,6,78.6066,1,1
2,7,97.73,1,1
2,8,118.382,1,0
2,9,138.832,1,0
2,10,43.4129,1,1
2,11,28.7348,1,1
2,12,20.7039,1,1
2,13,27.2604,1,1
2,14,42.5821,1,1
2,15,64.4156,1,1
2,16,82.6555,1,1
2,17,100.605,1,0
2,18,119.127,1,0
2,19,139.262,1,0
2,20,55.635,1,1
2,21,45.1777,1,1
2,22,38.8546,1,1
2,23,44.4087,1,1
2,24,55.9686,1,1
2,25,70.6891,1,1
2,26,88.1404,1,1
2,27,106.712,1,0
2,28,124.625,1,0
2,29,147.445,1,0
2,30,69.6606,1,1
2,31,65.1066,1,1
2,32,58.8419,1,1
2,33,62.1438,1,1
2,34,72.0593,1,1
2,35,82.5591,1,1
2,36,98.298,1,1
2,37,116.204,1,0
2,38,134.55,1,0
2,39,150.136,1,0
2,40,88.2764,1,1
2,41,81.631,1,1
2,42,80.9529,1,1
2,43,79.3744,1,1
2,44,89.6613,1,1
2,45,100.476,1,0
2,46,111.423,1,0
2,47,126.561,1,0
2,48,142.934,1,0
2,49,159.862,1,0
3,4,19.8219,1,1
3,5,38.1654,1,1
3,6,58.2862,1,1
3,7,77.3886,1,1
3,8,98.0518,1,1
3,9,118.492,1,0
3,10,61.7716,1,1
3,11,44.6442,1,1
3,12,30.3889,1,1
3,13,19.5383,1,1
3,14,25.8374,1,1
3,15,44.9118,1,1
3,16,62.732,1,1
3,17,80.3492,1,1
3,18,98.8991,1,1
3,19,118.954,1,0
3,20,70.8465,1,1
3,21,56.8285,1,1
3,22,44.2471,1,1
3,23,37.8135,1,1
3,24,43.1922,1,1
3,25,53.9095,1,1
3,26,69.7634,1,1
3,27,87.4443,1,1
3,28,104.978,1,0
3,29,127.58,1,0
3,30,81.9602,1,1
3,31,73.3743,1,1
3,32,61.1388,1,1
3,33,57.911,1,1
3,34,62.1202,1,1
3,35,68.7382,1,1
3,36,81.6873,1,1
3,37,98.7752,1,1
3,38,115.995,1,0
3,39,131.142,1,0
3,40,98.0985,1,1
3,41,88.3824,1,1
3,42,82.1239,1,1
3,43,75.7169,1,1
3,44,81.5321,1,1
3,45,88.7395,1,1
3,46,97.0874,1,1
3,47,110.462,1,0
3,48,125.791,1,0
3,49,141.832,1,0
4,5,18.3447,1,1
4,6,38.471,1,1
4,7,57.5885,1,1
4,8,78.2433,1,1
4,9,98.6908,1,1
4,10,81.0903,1,1
4,11,63.3509,1,1
4,12,47.8272,1,1
4,13,30.221,1,1
4,14,20.9127,1,1
4,15,28.6353,1,1
4,16,44.696,1,1
4,17,61.259,1,1
4,18,79.829,1,1
4,19,99.6281,1,1
4,20,88.6401,1,1
4,21,73.172,1,1
4,22,57.9434,1,1
4,23,43.2116,1,1
4,24,40.0399,1,1
4,25,42.8348,1,1
4,26,54.8375,1,1
4,27,70.4653,1,1
4,28,87.1226,1,1
4,29,109.213,1,0
4,30,97.8753,1,1
4,31,86.9601,1,1
4,32,71.1269,1,1
4,33,62.5577,1,1
4,34,60.1757,1,1
4,35,61.1779,1,1
4,36,69.3376,1,1
4,37,84.7106,1,1
4,38,99.93,1,1
4,39,114.26,1,0
4,40,112.011,1,0
4,41,100.34,1,0
4,42,89.8957,1,1
4,43,79.4635,1,1
4,44,80.2646,1,1
4,45,82.8481,1,1
4,46,87.5129,1,1
4,47,98.1293,1,1
4,48,111.745,1,0
4,49,126.354,1,0
5,6,20.131,1,1
5,7,39.264,1,1
5,8,59.9064,1,1
5,9,80.3591,1,1
5,10,99.0984,1,1
5,11,81.0724,1,1
5,12,65.1099,1,1
5,13,45.7623,1,1
5,14,30.2083,1,1
5,15,20.0165,1,1
5,16,29.8702,1,1
5,17,44.0488,1,1
5,18,62.4884,1,1
5,19,81.871,1,1
5,20,105.655,1,0
5,21,89.4388,1,1
5,22,73.0189,1,1
